time	temp
0	21
0.021	21
0.042	21
0.063	21
0.084	21
0.105	21
0.126	21
0.147	21
0.169	21
0.195	21
0.216	21
0.237	21
0.259	21
0.279	21
0.3	21
0.322	21
0.342	21
0.363	21
0.39	21
0.41	21
0.431	21
0.453	21
0.474	21
0.494	21
0.516	21
0.541	21
0.562	21
0.589	21
0.61	21
0.631	21
0.651	21
0.672	21
0.693	21
0.714	21
0.735	21
0.756	21
0.777	21
0.803	21
0.824	21
0.846	21
0.868	21
0.889	21
0.911	21
0.932	21
0.953	21
0.975	21
1.002	21
1.022	21
1.043	21
1.064	21
1.084	21
1.106	21
1.126	21
1.147	21
1.169	21
1.196	21
1.216	21
1.237	21
1.258	21
1.28	21
1.301	21
1.322	21
1.343	21
1.365	21
1.391	21
1.412	21
1.434	21
1.456	21
1.477	21
1.499	21
1.521	21
1.541	21
1.563	21
1.59	21
1.611	21
1.633	21
1.655	21
1.676	21
1.699	21
1.721	21
1.741	21
1.762	21
1.784	21
1.813	21
1.835	21
1.856	21
1.878	21
1.899	21
1.921	21
1.942	21
1.963	21
1.983	21
2.01	21
2.03	21
2.051	21
2.073	21
2.095	21
2.117	21
2.138	21
2.159	21
2.179	21
2.207	21
2.227	21
2.248	21
2.268	21
2.289	21
2.311	21
2.332	21
2.353	21
2.374	21
2.402	21
2.423	21
2.443	21
2.464	21
2.485	21
2.506	21
2.527	21
2.548	21
2.568	21
2.596	21
2.616	21
2.636	21
2.657	21
2.678	21
2.699	21
2.72	21
2.741	21
2.762	21
2.789	21
2.809	21
2.83	21
2.851	21
2.873	21
2.895	21
2.915	21
2.936	21
2.957	21
2.978	21
3.006	21
3.027	21
3.048	21
3.068	21
3.09	21
3.111	21
3.131	21
3.153	21
3.173	21
3.199	21
3.22	21
3.242	21
3.262	21
3.283	21
3.304	21
3.324	21
3.345	21
3.366	21
3.392	21
3.414	21
3.434	21
3.455	21
3.475	21
3.496	21
3.517	21
3.537	21
3.558	21
3.584	21
3.606	21
3.627	21
3.647	21
3.668	21
3.688	21
3.709	21
3.73	21
3.751	21
3.779	21
3.799	21
3.82	21
3.84	21
3.861	21
3.883	21
3.904	21
3.926	21
3.947	21
3.969	21
3.996	21
4.017	21
4.038	21
4.059	21
4.081	21
4.103	21
4.124	21
4.144	21
4.164	21
4.192	21
4.212	21
4.233	21
4.254	21
4.276	21
4.296	21
4.318	21
4.339	21
4.361	21
4.389	21
4.411	21
4.432	21
4.453	21
4.474	21
4.495	21
4.515	21
4.536	21
4.557	21
4.586	21
4.607	21
4.628	21
4.65	21
4.673	21
4.694	21
4.715	21
4.736	21
4.757	21
4.783	21
4.804	21
4.825	21
4.846	21
4.867	21
4.888	21
4.909	21
4.93	21
4.95	21
4.977	21
4.998	21
5.019	21
5.04	21
5.061	21
5.082	21
5.103	21
5.125	21
5.146	21
5.167	21
5.193	21
5.214	21
5.235	21
5.255	21
5.276	21
5.298	21
5.319	21
5.34	21
5.36	21
5.387	21
5.408	21
5.429	21
5.45	21
5.471	21
5.492	21
5.513	21
5.533	21
5.556	21
5.582	21
5.603	21
5.625	21
5.646	21
5.666	21
5.688	21
5.71	21
5.731	21
5.752	21
5.778	21
5.799	21
5.82	21
5.84	21
5.861	21
5.882	21
5.902	21
5.923	21
5.943	21
5.97	21
5.99	21
6.011	21
6.033	21
6.054	21
6.076	21
6.097	21
6.117	21
6.139	21
6.159	21
6.186	21
6.206	21
6.228	21
6.248	21
6.269	21
6.291	21
6.312	21
6.333	21
6.354	21
6.382	21
6.403	21
6.424	21
6.444	21
6.466	21
6.487	21
